,lon,lat,city,state
353,-157.8583333,21.3069444,Honolulu,HI
1482,-157.8583333,21.3069444,Honolulu,HI
1099,-156.7886111,71.2905556,Barrow,AK
581,-156.3319253,20.7983626,Maui,HI
1084,-155.0884869,19.7070942,Hilo,HI
1096,-155.0884869,19.7070942,Hilo,HI
1410,-155.0884869,19.7070942,Hilo,HI
1534,-155.0884869,19.7070942,Hilo,HI
809,-151.2583333,60.5544444,Kenai Peninsula,AK
1016,-149.9282138,61.1767272,Spenard,AK
94,-149.9002778,61.2180556,Anchorage,AK
1519,-149.9002778,61.2180556,Anchorage,AK
1135,-149.8180556,61.6302778,Houston,AK
1403,-149.4394444,61.5813889,Wasilla,AK
682,-147.7163889,64.8377778,Fairbanks,AK
685,-147.7163889,64.8377778,Fairbanks,AK
1633,-147.7163889,64.8377778,Fairbanks,AK
828,-124.1636729,40.8020712,Eureka,CA
1610,-124.1006205,40.9465152,McKinneyville,CA
1087,-123.9226385,45.9931636,Seaside,OR
671,-123.7039941,41.1877221,Weitchpec,CA
396,-123.4670077,42.382338,Wilderville,OR
467,-123.4568737,42.3447572,Josephine County,OR
466,-123.1987163,45.2101162,McMinnville,OR
1,-123.1007066,47.2150945,Shelton,WA
241,-123.0867536,44.0520691,Eugene,OR
309,-123.0867536,44.0520691,Eugene,OR
818,-123.0350963,44.9428975,Salem,OR
1503,-123.0350963,44.9428975,Salem,OR
987,-122.9666644,38.497135,Santa Nella,CA
1010,-122.9084445,46.146779,Kelso,WA
1603,-122.9084445,46.146779,Kelso,WA
999,-122.9006951,47.0378741,Olympia,WA
200,-122.8755949,42.3265152,Medford,OR
399,-122.8755949,42.3265152,Medford,OR
1037,-122.8755949,42.3265152,Medford,OR
2,-122.8670454,45.4942838,Aloha,OR
748,-122.8670454,45.4942838,Aloha,OR
629,-122.8293192,47.3352273,Grapeview,WA
308,-122.8163802,38.5471327,Windsor,CA
497,-122.8037102,45.487062,Beaverton,OR
1026,-122.8037102,45.487062,Beaverton,OR
